group,symbol,scheme,scheme_id,requested_scheme,checkpoint_path,test_metrics_path,background_size,eligible_test_samples,explained_samples,test_start_year,correct_only,explainer
Crypto,BTC,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\BTC\BTC\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\BTC\BTC\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,679,20,2023,True,DeepExplainer
Crypto,LTC,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\LTC\LTC\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\LTC\LTC\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,758,20,2023,True,DeepExplainer
Crypto,XRP,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\XRP\XRP\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\Crypto\XRP\XRP\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,548,20,2023,True,DeepExplainer
