asset,scheme,scheme_id,class_name,technical_total,macro_total,macro_share,group,symbol
Crypto:BTC,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.38692583058990865,0.07564946672971815,0.16353978945280004,Crypto,BTC
Crypto:BTC,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.22791040300614893,0.04849778706307233,0.17545712755807624,Crypto,BTC
Crypto:BTC,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.4446593876005386,0.07343466210787483,0.14174002220099674,Crypto,BTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.14646320705621235,0.06709568327218221,0.3141788345547572,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.09300577942678274,0.054169219578010935,0.3680599282779446,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.20848006105371014,0.07290127071530385,0.25908353712373683,Crypto,LTC
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.20410877535186983,0.09018200222091309,0.30643842448854725,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.12188413179285962,0.07802298033949569,0.3902961705926597,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.1899070956593108,0.0821945352393027,0.30207292388456436,Crypto,XRP
