asset,scheme,scheme_id,view,technical_total,macro_total,macro_share,group,symbol
PennyStocks:ARA,BCV-PU,loocv_undersampled_ratio2.0,predicted_class,0.09291213325008288,0.0322346611786827,0.25757480505847785,PennyStocks,ARA
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,predicted_class,0.09769476600539306,0.028969854332937216,0.22871307122349285,PennyStocks,PHR
PennyStocks:UPM,BCV-PU,loocv_undersampled_ratio2.0,predicted_class,0.12133095220843729,0.027770564314164407,0.1862527287571537,PennyStocks,UPM
