asset,scheme,scheme_id,class_name,technical_total,macro_total,macro_share,group,symbol
PennyStocks:ARA,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.24016705992820148,0.06410216370773952,0.2106758052678964,PennyStocks,ARA
PennyStocks:ARA,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.07251485768867724,0.029744499291938384,0.29087313053979774,PennyStocks,ARA
PennyStocks:ARA,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.25395362397815735,0.05491351420453384,0.17779008323006884,PennyStocks,ARA
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.1604927657110653,0.03904004819338297,0.19565728277694897,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.07225101218210128,0.025066989188603374,0.2575781339067781,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.17431151857464924,0.04154542733763776,0.19246741012688864,PennyStocks,PHR
PennyStocks:UPM,BCV-PU,loocv_undersampled_ratio2.0,Sell,0.2933969530335395,0.05605458809482115,0.16040732833463497,PennyStocks,UPM
PennyStocks:UPM,BCV-PU,loocv_undersampled_ratio2.0,Hold,0.07881084143184112,0.022599586437563633,0.22285268795697355,PennyStocks,UPM
PennyStocks:UPM,BCV-PU,loocv_undersampled_ratio2.0,Buy,0.3446087118579332,0.0706027521413421,0.170040469165527,PennyStocks,UPM
