group,symbol,scheme,scheme_id,requested_scheme,checkpoint_path,test_metrics_path,background_size,eligible_test_samples,explained_samples,test_start_year,correct_only,explainer
PennyStocks,ARA,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\ARA\ARA\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\ARA\ARA\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,284,20,2023,True,DeepExplainer
PennyStocks,PHR,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\PHR\PHR\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\PHR\PHR\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,263,20,2023,True,DeepExplainer
PennyStocks,UPM,BCV-PU,loocv_undersampled_ratio2.0,loocv_undersampled_ratio2.0,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\UPM\UPM\tech_macro\loocv_undersampled_ratio2.0\final_model.pt,C:\Users\Vall James\OneDrive\Desktop\thesisit\Thesis\Stocks\PennyStocks\UPM\UPM\tech_macro\loocv_undersampled_ratio2.0\test_metrics_2023_2025.json,100,173,20,2023,True,DeepExplainer
