Asset,Category,FinalEquity,MeanAnnualReturn,StdAnnualReturn
AC,Blue-chip Stocks,48134.43528866026,1.210313906661193,0.37958934946554873
JFC,Blue-chip Stocks,39998.067779668236,1.0231176527404329,0.39872895642061174
SMI,Blue-chip Stocks,71287.24493741264,1.72902450020107,0.7922754936970285
BTC,Cryptocurrency,296652.8609195005,4.503015836782762,1.107156003399543
LTC,Cryptocurrency,423881.10944273975,5.41452566604374,0.2141298014544669
XRP,Cryptocurrency,315861.2798139602,4.641507920119144,1.4052776649150966
ARA,Penny Stocks,68571.51831921659,1.6864220177687983,0.8065399881279065
PHR,Penny Stocks,67070.59921907225,1.635485313705556,0.6909745535842088
UPM,Penny Stocks,77362.25080047037,1.7933746727142685,0.3652861402093138
