asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,10,PPO,technical,0.000814652653025405,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.016833557351492345,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.01334065676201135,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,8,CMO,technical,0.013009620822413127,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,1,WilliamsR,technical,0.006888999452348799,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,17,Inflation Rate,macro,0.006704218639606551,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,3,EMA,technical,0.006298901440095506,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,7,CCI,technical,0.00519518449291354,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,2,SMA,technical,0.005174165118660312,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,12,CMFI,technical,0.005069470714443014,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2714,2023-07-04,Hold,Hold,True,4,WMA,technical,0.0050036637840094045,Blue chip stocks,AC
